research_category	feature_name	source_type	habitat	final_clade	final_clade_name	n_sequence_memberships	n_unique_MAG	mean_reconstruction_score_pct	prevalence_score_ge_50_pct	prevalence_score_ge_75_pct	inference_allowed	plot_label	x_numeric	y_numeric
Arsenic	Arsenite-oxidation marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	0	0	0	TRUE	Arsenic | Arsenite-oxidation marker carriage	1	6
Arsenic	Arsenite-oxidation marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	0	0	0	TRUE	Arsenic | Arsenite-oxidation marker carriage	1	6
Arsenic	Arsenite-oxidation marker carriage	Independent non-focal arsenic HMM-marker carriage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	0	0	0	TRUE	Arsenic | Arsenite-oxidation marker carriage	1	6
Arsenic	Arsenite-oxidation marker carriage	Independent non-focal arsenic HMM-marker carriage	AS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Arsenic | Arsenite-oxidation marker carriage	2	6
Arsenic	Arsenite-oxidation marker carriage	Independent non-focal arsenic HMM-marker carriage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE	Arsenic | Arsenite-oxidation marker carriage	2	6
Arsenic	Arsenite-oxidation marker carriage	Independent non-focal arsenic HMM-marker carriage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	0	0	0	FALSE	Arsenic | Arsenite-oxidation marker carriage	2	6
Arsenic	Arsenite-oxidation marker carriage	Independent non-focal arsenic HMM-marker carriage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	0	0	0	TRUE	Arsenic | Arsenite-oxidation marker carriage	3	6
Arsenic	Arsenite-oxidation marker carriage	Independent non-focal arsenic HMM-marker carriage	NS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Arsenic | Arsenite-oxidation marker carriage	4	6
Arsenic	Arsenite-oxidation marker carriage	Independent non-focal arsenic HMM-marker carriage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE	Arsenic | Arsenite-oxidation marker carriage	4	6
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Carbon | Acetyl-CoA pathway, CO2 => acetyl-CoA	1	39
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 2	Unknown/uncertain DMSOR	5	5	0	0	0	TRUE	Carbon | Acetyl-CoA pathway, CO2 => acetyl-CoA	1	39
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	12	0	0	0	TRUE	Carbon | Acetyl-CoA pathway, CO2 => acetyl-CoA	1	39
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	20	0	0	0	TRUE	Carbon | Acetyl-CoA pathway, CO2 => acetyl-CoA	1	39
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	AS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Carbon | Acetyl-CoA pathway, CO2 => acetyl-CoA	2	39
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	AS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE	Carbon | Acetyl-CoA pathway, CO2 => acetyl-CoA	2	39
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	1	0	0	0	FALSE	Carbon | Acetyl-CoA pathway, CO2 => acetyl-CoA	2	39
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	6	0	0	0	TRUE	Carbon | Acetyl-CoA pathway, CO2 => acetyl-CoA	3	39
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	NS	Clade 1	Canonical AioA-associated	1	1	0	0	0	FALSE	Carbon | Acetyl-CoA pathway, CO2 => acetyl-CoA	4	39
Carbon	Acetyl-CoA pathway, CO2 => acetyl-CoA	Previous algorithm: distinct-gene set coverage	NS	Clade 2	Unknown/uncertain DMSOR	1	1	0	0	0	FALSE	Carbon | Acetyl-CoA pathway, CO2 => acetyl-CoA	4	39
Carbon	Citrate cycle (TCA cycle, Krebs cycle)	Previous algorithm: distinct-gene set coverage	IS	Clade 1	Canonical AioA-associated	1	1	45	0	0	FALSE	Carbon | Citrate cycle (TCA cycle, Krebs cycle)	1	38
