research_category	feature_name	source_type	score_semantics	habitat	final_clade	final_clade_name	n_unique_MAG	completeness_mean	completeness_median	mean_raw_score_pct	mean_completeness_adjusted_score_pct	mean_score_delta_pct	raw_prevalence_ge_50_pct	adjusted_prevalence_ge_50_pct	prevalence_ge_50_delta_pct	raw_prevalence_ge_75_pct	adjusted_prevalence_ge_75_pct	prevalence_ge_75_delta_pct
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 1	Canonical AioA-associated	1	78.27	78.27	24.1379310344828	30.839313957433	6.70138292295019	0	0	0	0	0	0
Carbon	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 2	Unknown/uncertain DMSOR	1	79.77	79.77	17.2413793103448	21.6138639969222	4.37248468657736	0	0	0	0	0	0
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 1	Canonical AioA-associated	1	70.14	70.14	41.6666666666667	59.40499952476	17.7383328580933	0	100	100	0	0	0
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 2	Unknown/uncertain DMSOR	1	51.44	51.44	33.3333333333333	64.8004147226542	31.4670813893209	0	100	100	0	0	0
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	70.14	70.14	41.6666666666667	59.40499952476	17.7383328580933	0	100	100	0	0	0
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	70.235	71.215	44.4444444444444	62.6684907434771	18.2240462990327	50	83.3333333333333	33.3333333333333	0	16.6666666666667	16.6666666666667
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 1	Canonical AioA-associated	1	98.59	98.59	50	50.7150826655847	0.715082665584745	100	100	0	0	0	0
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 2	Unknown/uncertain DMSOR	5	69.596	65.87	45	66.7906119435109	21.7906119435109	60	80	20	0	60	60
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	78.9958333333333	82.715	44.4444444444445	57.7022754754966	13.2578310310522	41.6666666666667	75	33.3333333333333	0	8.33333333333333	8.33333333333333
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	89.293	95.11	47.5	54.1557759132097	6.65577591320972	75	85	10	0	5	5
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 1	Canonical AioA-associated	1	78.27	78.27	50	63.8814360546825	13.8814360546825	100	100	0	0	0	0
Carbon	Glycolysis, core module involving three-carbon compounds	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 2	Unknown/uncertain DMSOR	1	79.77	79.77	16.6666666666667	20.8934018636915	4.22673519702479	0	0	0	0	0	0
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 1	Canonical AioA-associated	1	70.14	70.14	0	0	0	0	0	0	0	0	0
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 2	Unknown/uncertain DMSOR	1	51.44	51.44	23.5294117647059	45.7414692159913	22.2120574512854	0	0	0	0	0	0
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	AS	Clade 3	IdrA-associated without complete DIRM-like synteny	1	70.14	70.14	0	0	0	0	0	0	0	0	0
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	ES	Clade 3	IdrA-associated without complete DIRM-like synteny	6	70.235	71.215	32.3529411764706	46.5079210311087	14.1549798546381	0	33.3333333333333	33.3333333333333	0	16.6666666666667	16.6666666666667
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 1	Canonical AioA-associated	1	98.59	98.59	17.6470588235294	17.8994409407946	0.252382117265203	0	0	0	0	0	0
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 2	Unknown/uncertain DMSOR	5	69.596	65.87	20	28.0303389036111	8.03033890361109	0	0	0	0	0	0
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 3	IdrA-associated without complete DIRM-like synteny	12	78.9958333333333	82.715	26.9607843137255	35.7434263262321	8.78264201250657	16.6666666666667	41.6666666666667	25	0	0	0
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	IS	Clade 4	IdrA-associated with DIRM-like synteny	20	89.293	95.11	33.8235294117647	38.8733120947437	5.04978268297897	15	25	10	0	0	0
Carbon	Incomplete reductive citrate cycle, acetyl-CoA => oxoglutarate	Previous algorithm: distinct-gene set coverage	multi-gene partial reconstruction	NS	Clade 1	Canonical AioA-associated	1	78.27	78.27	23.5294117647059	30.0618522610271	6.53244049632119	0	0	0	0	0	0
